source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,lum_val,radius_val
4051209111539237504,276.12476442344104,1.2317769676744332,-28.709029320111526,0.8473564543332516,190.32542726169038,1.5690626377301156,19.561455,,,,NOT_AVAILABLE,,,,
4089614880895909632,275.31409193748556,0.9426397482486103,-23.17654281059619,0.92156980319691,190.90830861414486,1.2048554788599666,19.593615,0.6645527,,,NOT_AVAILABLE,,,,
4043010671804708864,271.9681871191384,1.0849323402676871,-32.17305822833966,0.9026626091701891,191.13573357014548,1.1130641107379222,19.719755,,,,NOT_AVAILABLE,,,,
4050216905379357824,270.45017250656167,0.5657765720910279,-30.179575221282313,0.8273932329760144,191.1998469828047,0.9763475626442527,19.315763,,,,NOT_AVAILABLE,,,,
6759962109382375040,284.1678033586459,1.1605576784734224,-32.041341593738125,1.338197119744007,191.50339955330278,0.9932854770710058,19.49484,0.5710468,,,NOT_AVAILABLE,,,,
5278042880077383040,124.37356425220175,0.5314064970242485,-61.91628293217815,0.5770668296503997,191.5300686247612,0.6037221468556888,20.007257,2.955864,,,NOT_AVAILABLE,,,,
4171532207962739328,268.31848814740727,2.2882669865401257,-7.953765079481403,2.140407543049122,191.69121170708593,2.0837505868991117,20.669762,1.8301296,,,NOT_AVAILABLE,,,,
4123789282807668608,266.78908219558446,1.6536033631339027,-17.14676379244684,0.9285902451399397,191.92355907392178,1.7815797895201395,20.083338,,,,NOT_AVAILABLE,,,,
3316364602541746048,90.01593342260864,0.06594625823399516,2.7063796821574098,0.06413620659144915,192.06747753014994,0.07149961021093089,9.896644,2.905509,,,NOT_AVAILABLE,3317.25,0.352,,
4076102845036639232,278.0832765429682,0.5997858856282583,-25.7999971241159,0.6004525841617468,192.13477826815014,0.9078848595902184,19.023441,,,,NOT_AVAILABLE,,,,
4077261214929991040,275.76511918729784,1.4340645180721094,-24.511683934442527,1.2407141012135292,192.24225526773498,1.3077171799038745,20.227657,,,,NOT_AVAILABLE,,,,
4111588552031985152,260.59598925767074,1.2104641892446297,-23.379507143262657,1.077189064560077,192.2574254116051,2.6112385308483486,19.9272,,,,NOT_AVAILABLE,,,,
4062587579436839296,269.38694399239887,1.027653928056749,-28.584849050762504,0.6821251663815858,192.35513221123819,1.1289978266597867,19.749025,,,,NOT_AVAILABLE,,,,
4037395019232670336,270.04332456439016,1.5845172884122878,-36.41783036011112,1.1795497627079927,192.53067301359508,1.617809752936771,19.364458,,,,NOT_AVAILABLE,,,,
4052671565113471104,274.2334150309595,0.8292184829437879,-26.110840509963815,0.7498369643797975,192.53777362953332,0.9768170355705899,19.4237,1.6924458,,,NOT_AVAILABLE,,,,
4050394991920459520,271.354086179245,1.3626326212179345,-29.14105478889776,0.9575854857405987,193.15450286796215,1.3657564020908288,19.145693,,,,NOT_AVAILABLE,,,,
4062989485268092544,272.51295385141725,1.0185625825163496,-27.430341463650674,0.9644892662552351,193.2519336835041,1.2374479206024713,19.291655,,,,NOT_AVAILABLE,,,,
6033305972773253248,255.29710513136183,1.8101951896273696,-27.40552770813449,0.909965710886534,193.4936030298632,1.9540161034365813,20.537407,1.3808651,,,NOT_AVAILABLE,,,,
1695191332232990720,226.70313193792668,0.8277067681085705,70.4614742256856,0.8285658724638262,193.54572392679177,0.941955337407669,20.258179,3.088644,,,NOT_AVAILABLE,,,,
4052555463514045056,274.0688340777952,0.998327836274714,-26.97609892062911,0.8791198397785449,193.5838460684591,1.1272686690912463,19.90243,0.8845272,,,NOT_AVAILABLE,,,,
4042229915436742656,270.84447421444196,1.8501707355545678,-34.039499112236044,1.6877202305171495,193.98007435439447,1.9791356594476888,19.695618,,,,NOT_AVAILABLE,,,,
4050824660395776768,272.3560640533921,1.045965600464816,-28.269243599861102,0.8156557168509186,194.14232772410168,1.236417208939878,19.138899,2.2987213,,,NOT_AVAILABLE,,,,
4062658772840867968,269.1786547208921,1.4857795043710138,-28.215441913573972,0.7507556489067473,194.37287625937483,1.5829424425819703,19.22211,,,,NOT_AVAILABLE,,,,
4063030957491527168,271.9063205124046,1.100989429566832,-27.378175312239897,0.8077771714972266,194.38035858898468,1.1157466293256195,18.839298,,,,NOT_AVAILABLE,,,,
5978338981359599616,254.81550259498633,1.9170349271963167,-34.19668731670618,0.666844738916102,194.46084653561496,1.336248155509539,19.761385,,,,NOT_AVAILABLE,,,,
660597997696173440,134.5593028571631,0.09521651054348568,19.762973705284725,0.061413003803425896,194.7224955002911,0.12507262688634194,11.974409,3.787119,,,NOT_AVAILABLE,3542.5,0.2815,,
4060522765290999552,264.01456110267196,1.5031217880484382,-27.64469925833245,1.3948236024237148,194.7913312517636,1.6579961498965758,20.512438,,,,NOT_AVAILABLE,,,,
4064528350599819136,272.86057186573146,1.6119695519814008,-26.812626243784507,1.1348936749427199,194.87915238569718,1.8818285040816376,19.87974,1.2236881,,,NOT_AVAILABLE,,,,
660597997697274752,134.5588295814035,0.13486256408375022,19.762583661369725,0.0895941650788835,195.08364787599643,0.17542263556194213,12.491457,4.071307,,,NOT_AVAILABLE,3335.0,0.4947,,
4144992539964035456,268.6138156133239,1.680996011551561,-15.957008889079038,1.9758995333854408,195.13895597016761,1.7797427555963894,20.630833,,,,NOT_AVAILABLE,,,,
4468557611977674496,271.3658656798784,0.21668771677788376,2.494347133667221,0.1899900160136526,195.2165586108077,0.10115078593438435,5.50308,1.4773507,,,NOT_AVAILABLE,4442.5,0.374,0.16157997,0.6785651
4211568106385205504,291.1370452723165,1.436951675083721,-4.850182016385934,1.2549030494748552,195.26906083879427,1.8241469292537256,19.824492,2.8409328,,,NOT_AVAILABLE,,,,
4041705066155485568,266.33231661017936,1.9942585703272233,-34.769376179694,1.477217276664316,195.5536247567868,2.249345460267261,20.21926,,,,NOT_AVAILABLE,,,,
4058604117448885376,262.48172177472395,1.4118821587971644,-30.236688139581204,1.242241131011114,195.65682567621636,1.6390844936225553,20.100916,,,,NOT_AVAILABLE,,,,
4058690085588760960,261.7950932987458,1.424832831324215,-29.839892272160746,1.208133593755354,195.72751879834973,1.138320819915579,20.615,,,,NOT_AVAILABLE,,,,
4143792354331421184,270.05620177087815,1.6807011860607803,-17.584644471131902,1.9262983785872112,195.79389652229648,1.8937715109094724,20.34215,,,,NOT_AVAILABLE,,,,
4056077061826226944,268.3731189024523,1.5570002647669685,-31.047200790151713,1.4423861754731442,195.89971972295518,1.4783522210290947,20.34098,,,,NOT_AVAILABLE,,,,
