phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax
5.082415,5.5072365,4.6056657,104.39042664378279
12.377964,14.282705,11.07908,104.50132479441496
19.575388,,,104.63739493419122
19.376875,,,104.69432818064568
14.55893,14.9210825,13.986003,104.74189888096791
5.719411,6.1726503,5.170164,104.78284408649982
11.844593,13.709295,10.558376,104.889199523468
12.697331,14.769631,11.356535,104.89034352571461
20.13165,,,104.92637523766194
17.260952,,,104.97561681473782
9.443963,10.749467,8.343406,104.9847698993541
20.146303,19.494116,17.952673,105.00222817181904
11.561821,13.426061,10.268137,105.12895990868641
11.839096,13.776661,10.53324,105.15549028303121
20.246244,,,105.16452258545989
20.529959,19.45587,18.987558,105.21852850788993
19.358034,,,105.29467758712049
20.504715,,,105.30875582926782
20.227743,,18.14228,105.31702515871095
20.575785,20.528694,18.207539,105.38505468953711
13.111662,15.416567,11.72669,105.3855650935039
19.803352,,,105.49980632205181
9.559102,10.9314575,8.433533,105.51218337086472
19.465918,19.291449,,105.51571993394829
8.999554,10.232776,7.9232774,105.56270817808243
13.276983,15.571966,11.8880825,105.56373090092418
16.031513,19.526424,14.422473,105.58545875999782
19.80477,,,105.66358192841669
9.462734,10.743996,8.374225,105.69405992926612
9.880358,11.189861,8.7924595,105.88296522004954
10.6753235,12.131635,9.520732,105.89080339017241
18.26464,17.862957,16.95844,105.93727659576984
9.160499,10.453803,8.053024,105.94657264883429
19.79658,19.480515,18.172358,106.03811863237262
20.911135,20.391575,19.934103,106.103911367937
9.15159,10.397993,8.0778475,106.21119207139508
19.890684,,,106.2115080742317
13.612926,13.789602,13.2439995,106.27036740229272
9.891373,11.379458,8.723103,106.27940889514961
20.134235,,,106.32952741286803
19.61515,,,106.45681909950459
19.419905,,,106.6036251393956
11.045496,12.457054,9.907782,106.70944856540754
20.642458,20.048155,18.865807,106.79054572043718
20.504377,19.947796,18.231445,106.82373067021499
18.68366,21.353254,17.00928,106.87403068411338
19.669668,,,106.89331177941442
11.057313,12.558429,9.8857975,106.92462077166623
20.0623,,,107.11654003304652
19.24441,,,107.12893605359476
19.099289,,,107.14261477012772
11.727539,13.405457,10.4943905,107.31059336276132
20.782883,,,107.3380357371929
13.491416,15.919392,12.0892,107.42138884600509
19.623568,19.603725,17.809717,107.54201577756706
18.332468,22.230947,16.634985,107.55989477132901
19.686184,18.852188,17.845947,107.59964009801521
4.655691,5.0698667,4.228615,107.62104629371117
11.65541,13.502651,10.379157,107.77588183744778
19.958193,,,107.84043895131545
4.000295,4.3638196,3.677081,107.85254212679109
20.841515,,,107.86395894956543
19.631128,20.822882,17.613525,107.89135220396508
19.974524,,,108.18192356947429
18.294136,,,108.26759618585253
10.551709,12.003142,9.400219,108.32629334226212
20.476673,21.467752,18.640686,108.46426661118383
19.626194,,,108.47741506912148
13.45789,15.940114,12.049252,108.53303144408952
20.267138,19.09615,18.592339,108.6171180193839
9.0444,10.572088,7.8565464,108.72308133706026
20.087011,20.181883,18.840502,108.77337548252706
10.711482,12.285716,9.516186,108.82526431729201
4.023946,4.4108186,3.6551647,108.89509781046185
20.518145,20.057444,18.924448,108.93953263463749
6.1820064,6.6256294,5.618151,108.95511037989432
19.344324,,,108.99848042035168
19.68448,,,109.01918132528128
19.84305,,,109.0453502380185
13.978917,16.898134,12.506527,109.05421841465112
19.899792,19.781475,18.525503,109.14994721026306
19.568214,19.94403,18.24327,109.18910092392386
12.991718,13.092446,12.756255,109.21556884164742
19.079775,,,109.23110099357818
20.43037,,,109.25781500701916
19.325394,,,109.3280588167028
4.59883,5.021665,4.18158,109.34091992793995
19.305164,,,109.3501832864963
20.493647,20.60464,19.295954,109.61194142049557
20.537596,,,109.62320613082167
20.064651,19.481598,18.058706,109.62761873352464
19.583136,21.185347,17.915071,109.64508641612827
18.82242,20.822723,17.060846,109.68582214733607
11.699886,13.622846,10.404382,109.692128628949
13.579352,16.113083,12.158516,109.80298277710763
10.631855,12.29547,9.415616,109.84117577719842
19.185934,,,109.84632036809018
14.307448,14.677825,13.764676,109.87941245212957
19.995358,,,109.90893141834542
19.3182,,17.43787,109.97729244935947
7.9489303,8.77488,6.670772,109.98374140446687
20.443848,20.813572,18.647392,109.99382174623791
20.002962,19.570955,17.90326,110.0685299162644
19.665459,,,110.13017228350938
8.523996,9.519985,7.5617185,110.16831008471398
3.1347244,3.8598707,2.705469,110.21697775945823
20.038666,,,110.25813880874867
8.891377,10.060189,7.8452516,110.29081039509289
19.55123,,,110.31769915494371
18.568426,,,110.32409552764852
20.14322,19.803663,18.282166,110.41855517457975
20.246475,,,110.41859526407487
20.54321,19.40006,18.657377,110.69874807305591
19.75554,,,111.02816750630062
13.430817,15.943033,11.98781,111.02913537654649
20.185019,,,111.03929514583966
19.436815,,,111.37128794803627
19.767828,20.574327,17.975533,111.48319090106601
19.167238,19.609165,17.492933,111.64771553012707
9.124109,10.358677,8.061077,111.84189452705121
20.162386,20.48213,18.903194,111.88884117061446
18.642973,,,112.02026265325425
19.320267,,,112.10445275883279
20.554895,,,112.24196513814152
17.174044,,,112.2449016276459
20.46734,20.761415,18.278866,112.25476877603538
