pl_name,star_num,plan_num,pl_rad_e,pl_rad_j,pl_mass_e,pl_mass_j,ra,dec,dist,mag
HAT-P-17 b,1,2,11.769,1.05,184.3414,0.58,324.5359781,30.4881882,92.3831,10.2743
HAT-P-55 b,1,1,13.249,1.182,184.3414,0.58,264.2735096,25.7311468,511.388,13.0955
WASP-25 b,1,1,13.675,1.22,184.334,0.58,195.3597581,-27.5222273,211.416,11.6885
WASP-25 b,1,1,13.675,1.22,184.3414,0.58,195.3597581,-27.5222273,211.416,11.6885
WASP-62 b,1,1,15.02,1.34,184.3414,0.58,87.1398205,-63.9883286,175.631,10.0721
HAT-P-40 b,1,1,19.392,1.73,184.65923,0.581,335.5129199,45.4573423,464.469,11.4162
HAT-P-55 b,1,1,13.249,1.182,184.97706,0.582,264.2735096,25.7311468,511.388,13.0955
WASP-34 b,1,1,13.675,1.22,185.29489,0.583,165.3993679,-23.8609457,132.096,10.2046
HAT-P-3 b,2,1,10.615,0.947,185.61272,0.584,206.0940142,48.028565,134.554,11.2795
HATS-10 b,1,1,10.862,0.969,185.93055,0.585,294.3068385,-22.2044872,534.889,12.9838
WASP-22 b,1,1,12.98,1.158,186.876,0.588,52.8180374,-23.8197924,317.652,11.5821
K2-30 b,1,1,11.982,1.069,187.20187,0.589,52.3420548,22.2993491,333.042,13.2056
Kepler-8 b,1,1,15.872,1.416,187.5197,0.59,281.2881335,42.4510975,1021.87,13.5299
Kepler-8 b,1,1,15.48,1.381,187.5197,0.59,281.2881335,42.4510975,1021.87,13.5299
WASP-34 b,1,1,13.675,1.22,187.51,0.59,165.3993679,-23.8609457,132.096,10.2046
WASP-54 b,2,1,17.71,1.58,187.5197,0.59,205.4542456,-0.1281712,251.303,10.2441
WASP-70 A b,2,1,13.047,1.164,187.512,0.59,315.4771912,-13.4333821,222.355,11.0323
HAT-P-3 b,2,1,9.27,0.827,187.83,0.591,206.0940142,48.028565,134.554,11.2795
HATS-13 b,1,1,13.585,1.212,188.15536,0.592,316.9614798,-26.0967205,421.855,13.6799
WASP-15 b,1,1,15.782,1.408,188.15536,0.592,208.9280111,-32.1597118,282.091,10.797
Wendelstein-1 b,1,1,11.561,1.031,188.15536,0.592,299.0506412,17.5699627,305.3,15.0324
XO-2 N b,2,3,11.03,0.984,188.47319,0.593,117.0267691,50.2251472,154.273,10.9718
HAT-P-3 b,2,1,10.211,0.911,189.10885,0.595,206.0940142,48.028565,134.554,11.2795
HATS-53 b,1,1,15.02,1.34,189.10885,0.595,176.628323,-33.8600764,585.77,13.6564
Kepler-423 b,1,1,13.361,1.192,189.101,0.595,292.8557189,46.3911883,758.753,14.28
XO-2 N b,2,3,11.422,1.019,189.10885,0.595,117.0267691,50.2251472,154.273,10.9718
HAT-P-3 b,2,1,10.077,0.899,189.42668,0.596,206.0940142,48.028565,134.554,11.2795
WASP-70 A b,2,1,13.047,1.164,189.74451,0.597,315.4771912,-13.4333821,222.355,11.0323
XO-2 N b,2,3,11.422,1.019,189.737,0.597,117.0267691,50.2251472,154.273,10.9718
WASP-25 b,1,1,13.978,1.247,190.06234,0.598,195.3597581,-27.5222273,211.416,11.6885
HAT-P-3 b,2,1,9.976,0.89,190.38017,0.599,206.0940142,48.028565,134.554,11.2795
HAT-P-3 b,2,1,9.976,0.89,190.38017,0.599,206.0940142,48.028565,134.554,11.2795
HAT-P-39 b,2,1,17.609,1.571,190.372,0.599,113.7582526,17.8300283,697.004,12.2269
WASP-56 b,2,1,12.24,1.092,190.38017,0.599,183.3660401,23.055687,321.084,12.0028
WASP-124 b,1,1,13.899,1.24,190.698,0.6,332.7143373,-30.7497189,448.637,12.5754
HATS-56 b,1,1,18.921,1.688,191.33366,0.602,180.165072,-45.7994559,564.409,11.4877
Kepler-8 b,1,1,15.906,1.419,191.643,0.603,281.2881335,42.4510975,1021.87,13.5299
Kepler-74 b,1,1,10.761,0.96,191.96932,0.604,293.0925275,41.3555095,1177.55,14.3652
Kepler-423 b,1,1,13.361,1.192,192.60498,0.606,292.8557189,46.3911883,758.753,14.28
WASP-54 b,2,1,18.528,1.653,192.60498,0.606,205.4542456,-0.1281712,251.303,10.2441
HAT-P-3 b,2,1,10.077,0.899,193.55847,0.609,206.0940142,48.028565,134.554,11.2795
OGLE-TR-10 b,1,1,13.675,1.22,193.8763,0.61,267.8677483,-29.8764758,1344.97,15.6845
WASP-55 b,2,1,14.908,1.33,193.8763,0.61,203.7581951,-17.5034961,297.462,11.7747
HATS-25 b,1,1,14.123,1.26,194.82979,0.613,207.9076746,-23.7812403,471.158,12.9353
K2-29 b,2,1,11.209,1,194.82979,0.613,62.670422,24.4016558,178.475,12.2008
HAT-P-40 b,1,1,19.392,1.73,195.457,0.615,335.5129199,45.4573423,464.469,11.4162
HAT-P-27 b,2,1,11.433,1.02,195.78328,0.616,222.7673221,5.9473626,199.173,11.9562
WASP-22 b,1,1,13.44,1.199,196.10111,0.617,52.8180374,-23.8197924,317.652,11.5821
HAT-P-27 b,2,1,11.43,1.02,197.05,0.62,222.7673221,5.9473626,199.173,11.9562
HD 209458 b,1,1,15.92,1.42,197.05,0.62,330.7950219,18.8842419,48.3016,7.50866
OGLE-TR-10 b,1,1,14.011,1.25,197.046,0.62,267.8677483,-29.8764758,1344.97,15.6845
K2-30 b,1,1,13.406,1.196,198.00809,0.623,52.3420548,22.2993491,333.042,13.2056
HAT-P-28 b,1,1,13.585,1.212,198.953,0.626,13.0009159,34.728402,401.319,12.8718
WASP-55 b,2,1,14.964,1.335,199.27941,0.627,203.7581951,-17.5034961,297.462,11.7747
TOI-216.01,1,2,11.29,1.007,200,0.62927,73.9800129,-63.2603301,177.945,12.1631
HATS-39 b,1,1,17.598,1.57,200.2329,0.63,112.4192251,-29.9379163,878.521,12.6539
HD 209458 b,1,1,14.24,1.27,200.22,0.63,330.7950219,18.8842419,48.3016,7.50866
Kepler-74 b,1,1,10.76,0.96,200.22,0.63,293.0925275,41.3555095,1177.55,14.3652
OGLE-TR-10 b,1,1,12.778,1.14,200.2329,0.63,267.8677483,-29.8764758,1344.97,15.6845
WASP-90 b,1,1,18.271,1.63,200.2329,0.63,315.5319489,7.0562793,466.433,11.4559
Kepler-15 b,1,1,10.761,0.96,201.18639,0.633,296.2005506,49.1400304,739.412,13.7136
Kepler-6 b,1,1,13.103,1.169,201.18639,0.633,296.8372475,48.2399695,587.039,13.1714
WASP-54 b,2,1,18.528,1.653,202.131,0.636,205.4542456,-0.1281712,251.303,10.2441
HAT-P-28 b,1,1,13.585,1.212,202.45771,0.637,13.0009159,34.728402,401.319,12.8718
HD 209458 b,1,1,16.264,1.451,203.4,0.64,330.7950219,18.8842419,48.3016,7.50866
WASP-57 b,1,1,11.769,1.05,204.36469,0.643,223.8199788,-2.0576866,398.276,12.7293
WASP-57 b,1,1,11.769,1.05,204.68252,0.644,223.8199788,-2.0576866,398.276,12.7293
Kepler-6 b,1,1,13.103,1.169,205.63601,0.647,296.8372475,48.2399695,587.039,13.1714
HAT-P-3 b,2,1,10.536,0.94,206.5895,0.65,206.0940142,48.028565,134.554,11.2795
HATS-26 b,1,1,19.616,1.75,206.5895,0.65,144.9268593,-28.5856004,861.843,12.8431
HAT-P-4 b,2,1,14.28,1.274,206.90733,0.651,229.99122,36.229545,320.451,11.0634
HATS-29 b,1,1,14.022,1.251,207.54299,0.653,285.0965172,-54.8933408,353.891,12.4594
WASP-165 b,1,1,14.123,1.26,209.13214,0.658,357.5806472,-17.0775947,602.236,12.5435
HAT-P-27 b,2,1,11.635,1.038,209.759,0.66,222.7673221,5.9473626,199.173,11.9562
HAT-P-33 b,2,1,18.898,1.686,209.7678,0.66,113.1842383,33.8350214,396.11,11.0238
KELT-8 b,1,1,18.159,1.62,209.7678,0.66,283.3054489,24.1272483,197.572,10.6699
Kepler-15 b,1,1,10.76,0.96,209.76,0.66,296.2005506,49.1400304,739.412,13.7136
Kepler-91 b,1,1,15.69,1.4,209.76,0.66,285.6729033,44.1167513,1294.69,12.4762
OGLE-TR-10 b,1,1,17.023,1.519,209.7678,0.66,267.8677483,-29.8764758,1344.97,15.6845
TOI-1899 b,1,1,15.356,1.37,209.7678,0.66,299.4268472,40.1433462,128.438,13.5553
HAT-P-43 b,1,1,14.359,1.281,210.395,0.662,128.9256885,10.2065866,528.825,13.2165
HATS-60 b,1,1,12.924,1.153,210.40346,0.662,341.3640336,-14.9917747,486.474,12.5004
Kepler-6 b,1,1,14.617,1.304,212.31044,0.668,296.8372475,48.2399695,587.039,13.1714
Qatar-6 b,2,1,11.904,1.062,212.31044,0.668,222.2100773,22.1526136,100.848,11.1249
Kepler-6 b,1,1,14.83,1.323,212.619,0.669,296.8372475,48.2399695,587.039,13.1714
HAT-P-9 b,1,1,15.693,1.4,212.9461,0.67,110.1685157,37.1405946,455.203,12.1536
WASP-22 b,1,1,13.787,1.23,212.9461,0.67,52.8180374,-23.8197924,317.652,11.5821
HAT-P-4 b,2,1,14.28,1.274,213.255,0.671,229.99122,36.229545,320.451,11.0634
HATS-28 b,1,1,13.384,1.194,213.58176,0.672,284.3997616,-49.1385126,535.383,13.7929
WASP-57 b,1,1,10.267,0.916,213.573,0.672,223.8199788,-2.0576866,398.276,12.7293
HAT-P-29 b,2,1,12.408,1.107,214.85308,0.676,33.1310921,51.7787754,313.576,11.7336
KELT-10 b,1,1,15.681,1.399,215.80657,0.679,284.5483823,-47.0033072,188.404,10.7009
HAT-P-32 b,2,1,22.194,1.98,216.1244,0.68,31.0427614,46.6878512,289.205,11.1335
HAT-P-4 b,2,1,14.93,1.332,216.12,0.68,229.99122,36.229545,320.451,11.0634
HAT-P-4 b,2,1,14.235,1.27,216.1244,0.68,229.99122,36.229545,320.451,11.0634
HAT-P-4 b,2,1,14.986,1.337,216.1244,0.68,229.99122,36.229545,320.451,11.0634
Kepler-60 d,1,3,2.55,0.227,216.12,0.68,288.9612535,42.2650472,1025.1,13.9132
Kepler-74 b,1,1,14.8,1.32,216.12,0.68,293.0925275,41.3555095,1177.55,14.3652
OGLE-TR-10 b,1,1,19.279,1.72,216.1244,0.68,267.8677483,-29.8764758,1344.97,15.6845
OGLE-TR-211 b,1,1,14.146,1.262,216.1244,0.68,160.0598236,-62.4555353,1515.26,15.0702
HD 209458 b,1,1,15.233,1.359,216.76006,0.682,330.7950219,18.8842419,48.3016,7.50866
HAT-P-24 b,2,1,13.922,1.242,217.704,0.685,108.8251171,14.2626064,415.344,11.6396
HAT-P-24 b,2,1,14.751,1.316,217.71355,0.685,108.8251171,14.2626064,415.344,11.6396
HD 209458 b,1,1,15.233,1.359,217.704,0.685,330.7950219,18.8842419,48.3016,7.50866
HD 209458 b,1,1,15.917,1.42,217.71355,0.685,330.7950219,18.8842419,48.3016,7.50866
WASP-84 b,1,1,10.94,0.976,218.34921,0.687,131.1069959,1.8598933,100.588,10.5745
HD 209458 b,1,1,15.7,1.4,219.29,0.69,330.7950219,18.8842419,48.3016,7.50866
HD 209458 b,1,1,15.244,1.36,219.3027,0.69,330.7950219,18.8842419,48.3016,7.50866
WASP-84 b,1,1,10.559,0.942,220.565,0.694,131.1069959,1.8598933,100.588,10.5745
WASP-84 b,1,1,10.559,0.942,220.57402,0.694,131.1069959,1.8598933,100.588,10.5745
Kepler-15 b,1,1,14.448,1.289,221.20968,0.696,296.2005506,49.1400304,739.412,13.7136
TrES-1 b,2,1,11.96,1.067,221.52751,0.697,286.0408755,36.632536,159.658,11.5565
HATS-45 b,1,1,14.415,1.286,222.481,0.7,101.9942455,-21.9107112,772.11,13.2385
WASP-35 b,1,1,14.796,1.32,222.79883,0.701,76.0818912,-6.2297801,202.218,10.8531
CoRoT-4 b,1,1,13.339,1.19,223.43449,0.703,102.1946233,-0.6727861,726.412,13.5613
HATS-30 b,2,1,13.171,1.175,224.38798,0.706,5.618525,-59.9425892,342.14,12.0815
