source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,lum_val
3307815006281475200,67.87267345794213,0.07848207521023114,13.903400045733694,0.04516021679720874,20.38386447722427,0.08378991329270719,7.629576,0.7044482,39.8910170917807,0.22080725855010888,"NOT_AVAILABLE",6132.6665,0.026,1.5662222
3312652513846244096,68.20928391099704,0.2237162043411278,16.00568757238531,0.13951418571059507,20.39695782208213,0.26404910293479833,8.665884,1.0934639,,,"NOT_AVAILABLE",5003.1533,0.5885,0.67473125
3313842529024545664,65.85491461033463,0.09398467511585491,16.77715110759729,0.04848176133680661,20.434085024263453,0.10925398251183775,5.563784,0.38607407,,,"NOT_AVAILABLE",7401.6665,0.719,10.551549
3307843524864280192,67.09387627092575,0.07677671432299897,13.822678913712352,0.029611347619150595,20.50663201053929,0.09868466800277474,14.918414,3.172782,,,"NOT_AVAILABLE",3770.21,,
3311024789960504576,65.39544210986372,0.057782140106947176,14.409706546064516,0.03082936887360825,20.51987931160925,0.06770289008990016,6.48186,0.55333567,39.02481865137145,0.31175959084523025,"NOT_AVAILABLE",6695.0,0.5222,4.4238496
3309990523179108480,69.53971722851033,0.21213191834055128,16.033218656557306,0.12387901426228808,20.551985644941578,0.21929736351783943,5.68812,0.43625116,,,"NOT_AVAILABLE",7134.373,0.6237,9.219533
3313259169388356608,68.40863659424868,0.04694679093063558,16.762389765759902,0.02073744286923947,20.55769802307952,0.051259236740466924,9.152518,1.0640316,40.27001901445682,0.16028100283284963,"NOT_AVAILABLE",4944.74,0.133,0.42986265
3311120722349948672,65.2340974957228,0.0979514452970988,14.85949901303648,0.05261868926359044,20.56879221304413,0.11050220249791207,15.158329,3.149828,,,"NOT_AVAILABLE",3669.45,0.3905,
3307650109600736000,67.20947489647735,0.14313552448589964,13.047537872988826,0.0867331708470991,20.588748041485722,0.16140418882725793,4.951238,0.27555895,,,"NOT_AVAILABLE",7814.3335,0.6,18.74205
47541100375011968,65.38495322490863,0.038158139323063965,18.41744468199816,0.020926126592020068,20.64269164472822,0.038760335728723075,6.683846,0.592185,38.458678614133795,0.34054996380281843,"NOT_AVAILABLE",6551.6,0.1995,3.6286097
47751828650825856,65.05887516013911,0.15547795449262936,18.7019720155637,0.07610222886129772,20.68403410659809,0.165655369993215,17.412321,3.9890118,,,"NOT_AVAILABLE",,,
3309493715722074880,69.38372566683248,0.4124069743906969,15.146381157160157,0.29668906134885836,20.690573420527173,0.4618509208672548,7.398631,0.7953882,41.80386947464673,0.7820425198018769,"NOT_AVAILABLE",5816.5,0.359,1.9048138
3312281634829711488,64.55460945477337,0.06640060270712712,16.098027303383606,0.04172805608686517,20.73418005756586,0.07622349350310674,14.774393,3.072957,,,"NOT_AVAILABLE",3667.0,0.545,
3312892757136810880,67.24950076279652,0.15148253593156094,16.158972578365546,0.07464747302482713,20.744243003843074,0.18166227612736774,6.431078,0.7053199,42.16964038915245,2.993515952306349,"NOT_AVAILABLE",6175.0,1.4297,4.55581
3310702770492165120,64.8344979862436,0.03964209238482304,14.31635042216714,0.02583704840705471,20.752886601231143,0.04382591510506347,11.991074,2.0931015,38.44631698728643,0.6653472988251273,"NOT_AVAILABLE",4045.9749,0.0635,
3310478710637938560,64.5358938746085,0.11823660715120841,13.331094468434225,0.08673312399325915,20.754505837535078,0.11489778211086793,14.082253,,,,"NOT_AVAILABLE",,,
3307844864893938304,67.0189265070564,0.06126748600708376,13.867856798752586,0.025878470606580155,20.761288527507038,0.06538954825547594,8.831254,0.9998226,40.37882902777672,0.1841936667557844,"NOT_AVAILABLE",5245.665,0.1447,0.53506947
3307645131734449408,66.72688873527062,0.03296949086955621,13.138105412501822,0.018877616349556342,20.779336454718795,0.036542236558946624,10.083732,1.3895979,39.82296701142941,0.35085890790849406,"NOT_AVAILABLE",4601.0,0.369,0.19724225
3309541170817293824,68.66687546187458,0.12113008076637079,15.208969866756261,0.05516850456609716,20.80159742744848,0.13268913194878096,11.546209,2.0885963,44.68143018846359,3.7983790043129235,"NOT_AVAILABLE",3907.3333,,0.0734636
3310478710637066752,64.53627703358629,0.09056197652991851,13.331261168299653,0.06056144949445185,20.801685767338675,0.10080327836608798,13.954916,2.8923683,,,"NOT_AVAILABLE",3818.205,,
